City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,nzerekore,7.7562,-8.8179,27.37,20,99,1.53,GN,1707074179
157,westport,41.1415,-73.3579,8.02,40,0,6.69,US,1707074179
158,callao,-12.0667,-77.15,29.16,58,0,4.63,PE,1707074179
159,tiksi,71.6872,128.8694,-33.62,100,95,0.3,RU,1707074179
160,dikwa,12.024,13.9165,23.34,24,100,4.4,NG,1707074179
161,shimoda,34.6667,138.95,4.5,76,100,4.71,JP,1707074180
162,georgetown,5.4112,100.3354,27.96,83,20,2.06,MY,1707074180
163,malango,-2.9627,119.9001,20.66,97,100,1.32,ID,1707074180
164,saint-philippe,-21.3585,55.7679,22.77,72,38,3.6,RE,1707074180
165,olonkinbyen,70.9221,-8.7187,-6.15,74,100,9.23,SJ,1707074129
166,cicero dantas,-10.6,-38.3833,28.92,52,100,4.54,BR,1707074164
167,sehwan,26.4279,67.863,17.18,60,6,1.06,PK,1707074181
168,berdigestyakh,62.0989,126.6992,-34.27,100,94,0.98,RU,1707074181
169,kodiak,57.79,-152.4072,-0.27,93,75,4.12,US,1707074181
170,vila franca do campo,37.7167,-25.4333,18.27,99,5,3.3,PT,1707074181
171,igarapava,-20.0383,-47.7469,23.18,73,100,2.16,BR,1707074181
172,puerto ayora,-0.7393,-90.3518,28.98,88,67,3.13,EC,1707074119
173,vila velha,-20.3297,-40.2925,29.97,72,20,5.66,BR,1707074182
174,nova sintra,14.8667,-24.7167,21.52,69,0,3.85,CV,1707074182
175,hiji,33.3667,131.5333,7.76,98,100,3.03,JP,1707074182
176,keflavik,64.0049,-22.5624,-4.76,86,75,4.12,IS,1707074182
177,gewane,10.1664,40.6453,28.26,50,100,3.9,ET,1707074182
178,benguela,-12.5763,13.4055,28.16,72,100,0.44,AO,1707074182
179,nizhnyaya poyma,56.1622,97.1933,-9.83,87,100,2.02,RU,1707074183
180,khovd,48.0056,91.6419,-19.67,92,100,0.77,MN,1707074183
181,port elizabeth,-33.918,25.5701,23.39,95,20,2.06,ZA,1707074183
182,stanley,54.868,-1.6985,12.77,83,75,10.8,GB,1707074183
183,strezhevoy,60.7333,77.5889,-15.02,96,100,3.58,RU,1707074183
184,alenquer,-1.9417,-54.7383,33.0,49,54,3.47,BR,1707074184
185,ketchikan,55.3422,-131.6461,4.08,93,100,0.0,US,1707074184
186,dara,15.3484,-15.4799,30.45,7,98,3.68,SN,1707074184
187,kruisfontein,-34.0033,24.7314,22.16,77,93,1.26,ZA,1707074184
